Unnamed: 0,Authors,Title,Citation,DOI,Year,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",institution_info,city_country,LatLng,city_name,GreenPct,NearBodyOfWater,University,NearParks
31,"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1371/journal.pone.0098448,01/01/14,,,1.0,,Overlapping microscopy images,1,08/07/15,,1.0,,1,"['Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Graduate School of Chinese Academy of Sciences, Beijing, China', 'Lanzhou University, Hospital of Stomatology, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China', 'Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences, Lanzhou, China', 'Key Laboratory of Heavy Ion Radiation Medicine of Gansu Province, Lanzhou, China']","[' Beijing', "" China'"", ' Lanzhou']","(36.0617, 103.8318)","['lanzhou', 'china', 'beijing']",33.21%,False,lanzhou university,False
32,"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash",Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0105049,01/01/14,,,,1,Duplicated set of lanes within the same panel,1,12/12/14,,1.0,,1,"['Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India', 'Indian Institute of Science Education and Research, Kolkata, India', 'Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India', 'Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India']","[' Kolkata', ' Varanasi', "" India'""]","(25.3176452, 82.9739144)",[],32.51%,False,banaras hindu university,False
33,"Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",10.1371/journal.pone.0103868,01/01/14,,1.0,,,Duplicated microscopy panels,1,11/18/14,,1.0,,1,"['Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India']","[' Hyderabad', ' A.P.', "" India'""]","(20.593684, 78.96288)",[],33.11%,False,osmania university,False
34,"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,01/01/14,,1.0,,,duplicated microscopy panels,1,05/28/15,,1.0,,1,"['Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', ""Jan and Dan Duncan Neurological Research Institute, Texas Children's Hospital, Houston, Texas, United States of America"", 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Structural and Computational Biology and Molecular Biophysics, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Integrative Biology and Pharmacology, University of Texas School of Medicine, Houston, Texas, United States of America', 'Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', ""Jan and Dan Duncan Neurological Research Institute, Texas Children's Hospital, Houston, Texas, United States of America"", 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Structural and Computational Biology and Molecular Biophysics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Neuroscience, Baylor College of Medicine, Houston, Texas, United States of America']","[' Houston', ' United States of America""', ' Texas', "" United States of America'""]","(29.7863, -95.3889)",['houston'],33.46%,False,baylor college of medicine,True
35,"Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhäll, Irene SöderhällGab",Astakine 2—the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.pgen.1003361,01/01/13,,,,1,"multiple cases of shifted blots, duplicated bands within blots",1,04/27/15,1.0,,,1,"['Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Center for Genomics and Bioinformatics Research, Faculty of Science, Prince of Songkla University, Songkhla, Thailand', 'Proteomics Research Laboratory, Genome Institute, National Center for Genetic Engineering and Biotechnology (BIOTEC), NSTDA, Pathumthani, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Aquatic Molecular Genetics and Biotechnology Laboratory, National Center for Genetic Engineering and Biotechnology (BIOTEC), NSTDA, Pathumthani, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden']","[' Songkhla', ' Pathumthani', "" Sweden'"", "" Thailand'"", ' Uppsala', ' NSTDA']","(59.8498, 17.6389)","['uppsala', 'sweden', 'songkhla']",34.35%,False,prince of songkla university,False
36,"Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays",Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",10.1371/journal.pgen.1003094,01/01/13,,1.0,,,duplicated microscopy panels,1,11/19/15,,1.0,,1,"['National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'Institute of Molecular Pathology, Vienna, Austria', 'Department of Biology, University of Rome Tor Vergata, Roma, Italy', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Institut Cochin, Université Paris Descartes, CNRS (UMR 8104), Paris, France', 'Institut Cochin, Université Paris Descartes, CNRS (UMR 8104), Paris, France', 'National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, Maryland, United States of America', 'Centre for Advanced Biomedical Imaging, Department of Medicine and Institute of Child Health, University College London, London, United Kingdom', 'Centre for Advanced Biomedical Imaging, Department of Medicine and Institute of Child Health, University College London, London, United Kingdom', 'Early Mammalian Development Laboratory, Research School of Biology, College of Medicine, Biology, and Environment, Australian National University, Canberra, Australia', 'Department of Biology, University of Rome Tor Vergata, Roma, Italy', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Institute of Molecular Pathology, Vienna, Austria']","[' Université Paris Descartes', ' CNRS (UMR 8104)', ' Bethesda', ' Roma', "" United States of America'"", ' Canberra', "" Austria'"", "" United Kingdom'"", "" Italy'"", ' Oxford', ' Paris', ' London', ' Vienna', "" France'"", "" Australia'"", ' and Environment', ' Maryland']","(38.9866, -77.1188)","['bethesda', 'oxford', 'vienna', 'roma', 'paris', 'london', 'canberra']",36.21%,False,university college london,False
37,"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee",Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1371/journal.pgen.1004121,01/01/14,,1.0,,,duplicated western blot panels,1,06/03/14,,1.0,,1,"['Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Physiology and Biophysics, University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States of America', 'Department of Oral and Maxillofacial Surgery, School of Dentistry, University of Alabama at Birmingham, Birmingham, Alabama, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', ""Department of Pathology, Texas Children's Hospital, Baylor College of Medicine, Houston, Texas, United States of America"", 'Department of Orthopaedics and Sports Medicine, University of Washington, Seattle, Washington, United States of America', 'Department of Orthopaedics and Sports Medicine, University of Washington, Seattle, Washington, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America']","[' Houston', ' Arkansas', ' Little Rock', ' Texas', "" United States of America'"", ' Birmingham', ' Seattle', ' ""Department of Pathology', ' Washington', ' United States of America""', ' Alabama']","(29.7863, -95.3889)","['houston', 'little rock', 'birmingham', 'seattle', 'washington']",34.11%,False,university of alabama at birmingham,False
38,"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez",Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pgen.1004480,01/01/14,,1.0,,,duplicated microscopy panels,1,10/17/14,,1.0,,1,"['Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain', 'Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain', 'Department of Physiological Sciences II, University of Barcelona-Bellvitge Health Science Campus, Barcelona, Spain', 'Department of Cell and Neurobiology, Zilkha Neurogenetic Institute, Keck School of Medicine, University of Southern California, Los Angeles, California, United States of America', 'Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain', 'Department of Pathology and Experimental Therapeutics, University of Barcelona-Bellvitge Health Science Campus, Barcelona, Spain']","["" Spain'"", "" United States of America'"", ' Los Angeles', ' California', ' Barcelona']","(41.3825, 2.1769)","['barcelona', 'los angeles', 'california']",33.41%,False,university of barcelona-bellvitge health science campus,False
39,"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie",X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.ppat.1003576,01/01/13,,1.0,,,Duplicated microscopy panels,1,05/19/16,,1.0,,1,"['Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America', 'Department of Chemistry and Biochemistry, San Francisco State University, San Francisco, California, United States of America', 'Lung Biology Center, Diabetes Center, and California Institute for Quantitative Biosciences, University of California, San Francisco, San Francisco, California, United States of America', 'Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America']","[' Diabetes Center', ' San Francisco', ' California', "" United States of America'""]","(37.7562, -122.443)","['san francisco', 'california']",33.92%,False,university of california,False
40,"Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger",Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.1371/journal.ppat.1003114,01/01/13,,,,1,"Duplicated or mirrored blot panels, or lanes within blots",1,03/09/16,,1.0,,1,"['Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America', 'Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America', 'Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America', 'Mathematical Biosciences Institute, The Ohio State University, Columbus, Ohio, United States of America', 'Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America']","[' Ohio', ' Columbus', "" United States of America'""]","(39.9862, -82.985)","['columbus', 'ohio']",35.63%,False,the ohio state university,True
41,"Vicente Ramírez,  Ana López, Brigitte Mauch-Mani, Ma José Gil, Pablo Vera_",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1371/journal.ppat.1003445,01/01/13,,,1.0,,"Duplicated/stretched images of a leaf, duplicated gel panels",1,11/02/16,,1.0,,1,"['Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain', 'Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain', 'University of Neuchâtel, Faculty of Sciences, Institute of Botany, Neuchâtel, Switzerland', 'Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain', 'Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain']","["" Spain'"", ' Ciudad Politécnica de la Innovación', "" 'Instituto de Biología Molecular y Celular de Plantas"", "" Switzerland'"", ' Valencia', ""'Instituto de Biología Molecular y Celular de Plantas"", ' Neuchâtel', ' Universidad Politécnica de Valencia-C.S.I.C']","(10.1667, -68.0)","['valencia', 'neuchâtel']",,,university of neuchâtel,NA
42,"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",10.1371/journal.ppat.1003845,01/01/14,,,1.0,,"Duplicated blot panels, shifted",1,01/14/16,,1.0,,1,"['CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'College of Animal Science, Fujian Agriculture and Forestry University, Fuzhou, China', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'College of Animal Science, Fujian Agriculture and Forestry University, Fuzhou, China', 'Key Laboratory of Human Disease Comparative Medicine, Ministry of Health, Institute of Laboratory Animal Science, Chinese Academy of Medical Sciences & Comparative Medical Center, Peking Union Medical College, Beijing, China', 'Department of Biochemistry and Molecular Biology, Louisiana State University Health Sciences Center, Shreveport, Louisiana, United States of America', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'College of Animal Science, Fujian Agriculture and Forestry University, Fuzhou, China']","[' Ministry of Health', ' Beijing', ' Shreveport', "" United States of America'"", ' Louisiana', "" China'"", ' Fuzhou']","(39.905, 116.3914)","['beijing', 'china', 'fuzhou', 'shreveport']",34.72%,False,college of animal science,False
43,"Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. O’Toole, Judith Breuer ",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1371/journal.ppat.1003896,01/01/14,,,1.0,,Duplicated shifted blot panel,1,07/22/14,,1.0,,1,"['Division of Infection and Immunity, University College London, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Centre for Cutaneous Research, QMUL, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Department of Ophthalmology and of Molecular Microbiology and Genetics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Virus Genomics Team, Wellcome Trust Sanger Institute, Cambridge, United Kingdom', 'Section of Virology, Faculty of Medicine, Imperial College London, London, United Kingdom', 'Department of Ophthalmology and of Molecular Microbiology and Genetics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America', 'Centre for Cutaneous Research, QMUL, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom']","[' QMUL', "" United States of America'"", ' London', "" United Kingdom'"", ' Pittsburgh', ' Pennsylvania', ' Cambridge']","(51.5072, -0.1275)","['london', 'pittsburgh', 'cambridge']",37.20%,False,imperial college london,True
44,"Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhäll, Kenneth Söderhällati",Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1371/journal.ppat.1004059,01/01/14,,1.0,,,Duplicated microscopy panels,1,05/20/16,,1.0,,1,"['Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Aquatic Molecular Genetics and Biotechnology Laboratory, National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Technology Development Agency, Pathumthani, Bangkok, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Center of Excellence for Molecular Biology and Genomics of Shrimp, Department of Biochemistry, Faculty of Science, Chulalongkorn University, Bangkok, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Science for Life Laboratory, Department of Comparative Physiology, Uppsala University, Uppsala, Sweden']","[' Pathumthani', ' Bangkok', "" Thailand'"", ' Uppsala', "" Sweden'""]","(59.8498, 17.6389)","['uppsala', 'sweden', 'bangkok']",34.15%,False,uppsala university,True
45,"Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garcı__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",10.1371/journal.ppat.1003981,01/01/14,,,1.0,,"Duplicated, and shifted western blot panels",1,10/23/14,,1.0,,1,"['Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore', 'Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore', 'Center for Computational and Integrative Biology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, United States of America', 'Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore', 'Inositol Signaling Group, Laboratory of Signal Transduction, National Institute of Environmental Health Sciences, NIH, DHHS, Research Triangle Park, North Carolina, United States of America', 'Department of Pharmacy and Pharmacology, University of Bath, Claverton Down, Bath, United Kingdom', 'Solomon H. Snyder Department of Neuroscience and Departments of Psychiatry and Behavioral Sciences, The Johns Hopkins University School of Medicine, Baltimore, Maryland, United States of America', 'Section of Microbial Pathogenesis, Yale University School of Medicine, New Haven, Connecticut, United States of America', 'Department of Biochemistry, Vanderbilt University Medical Center, Nashville, Tennessee, United States of America', 'Solomon H. Snyder Department of Neuroscience and Departments of Psychiatry and Behavioral Sciences, The Johns Hopkins University School of Medicine, Baltimore, Maryland, United States of America', 'Department of Microbiology, Global Health and Emerging Pathogens Institute, Department of Medicine, Division of Infectious Diseases, Icahn School of Medicine at Mount Sinai, New York, New York, United States of America', 'Department of Pharmacy and Pharmacology, University of Bath, Claverton Down, Bath, United Kingdom', 'Lady Davis Institute for Medical Research, Jewish General Hospital, Montreal, Canada', 'Inositol Signaling Group, Laboratory of Signal Transduction, National Institute of Environmental Health Sciences, NIH, DHHS, Research Triangle Park, North Carolina, United States of America', 'Center for Computational and Integrative Biology, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, United States of America', 'Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore']","["" Canada'"", ' DHHS', ' NIH', ' Claverton Down', "" United States of America'"", ' Tennessee', "" United Kingdom'"", ' Bath', ' North Carolina', ' Baltimore', ' New York', ' Boston', ' Nashville', "" 'Inositol Signaling Group"", ' Maryland', ' New Haven', ' Massachusetts', ' Connecticut', "" Singapore'"", ' Montreal']","(1.3, 103.8)","['singapore', 'boston', 'bath', 'baltimore', 'new haven', 'nashville', 'new york']",33.46%,False,yale university school of medicine,False
46,"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves",Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",10.1371/journal.ppat.1004195,01/01/14,,,1.0,,Rotated western blot,1,09/05/14,,1.0,,1,"[""Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom"", 'Department of Medicine, University of Iowa, Iowa City, Iowa, United States of America', 'Department of Medicine, University of Iowa, Iowa City, Iowa, United States of America', ""Department of Medicine, Addenbrooke's Hospital, University of Cambridge, Cambridge, United Kingdom"", 'Institute of Immunity & Transplantation, Division of Infection & Immunity, Royal Free Hospital, University College London, London, United Kingdom']","[' United Kingdom""', "" United States of America'"", ' ""Department of Medicine', ' Iowa City', '""Department of Medicine', ' London', "" United Kingdom'"", ' Iowa', ' Cambridge']","(43.3972, -80.3114)","['cambridge', 'iowa city', 'london']",34.72%,False,university of iowa,False
