Authors,Title,Citation,DOI,Year,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",Lab Size,Publication Rate,Other Journals Published In,1st Author Affiliation University,1st Author Duration of career,1st Author Highest Degree,1st Author Degree Area,city_country,LatLng,city_name,GreenPct,NearBodyOfWater,NearParks,Insititution,Rank,Overall Score,Academic Reputation Score,Citations per Faculty,Faculty Student Ratio,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
"Jean-Philippe Lavigne, He_lène Marchandin, Nicole Bouziges, and Albert SottoS",First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,"J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005",10.1128/JCM.43.7.3512-3515.2005,01/01/05,,,,1,gel panel appears to have patches,1,,,,1,1,"[50.0, nan, nan]","[nan, nan, nan]",[],"[""Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, Avenue Kennedy, 30900 Nîmes, France"", 'Laboratoire de Bactériologie, Virologie, Parasitologie, CHU de Nîmes, Groupe Hospitalo-Universitaire de Carémeau, Place du Professeur Robert Debré, 30029 Nîmes Cedex 9, France', ""Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, Avenue Kennedy, 30900 Nîmes, France"", 'Laboratoire de Bactériologie, CHU Arnaud de Villeneuve, 371, avenue du Doyen Gaston Giraud, 34295 Montpellier cedex 5, France', ""Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, Avenue Kennedy, 30900 Nîmes, France"", 'Laboratoire de Bactériologie, Virologie, Parasitologie, CHU de Nîmes, Groupe Hospitalo-Universitaire de Carémeau, Place du Professeur Robert Debré, 30029 Nîmes Cedex 9, France', ""Laboratoire Universitaire d'Antibiologie, Faculté de Médecine, Avenue Kennedy, 30900 Nîmes, France"", 'Service de Médecine Interne B, CHU de Nîmes, Groupe Hospitalo-Universitaire de Carémeau, Place du Professeur Robert Debré, 30029 Nîmes Cedex 9, France']",,PhD,Infectious Disease,"[' Virologie', "" 'Service de Médecine Interne B"", ' 30900 Nîmes', ' 30029 Nîmes Cedex 9', ' Avenue Kennedy', ' Place du Professeur Robert Debré', ' Faculté de Médecine', '""Laboratoire Universitaire d\'Antibiologie', ' 34295 Montpellier cedex 5', ' ""Laboratoire Universitaire d\'Antibiologie', ' 371', ' CHU Arnaud de Villeneuve', ' Groupe Hospitalo-Universitaire de Carémeau', ' Parasitologie', "" France'"", ' France""', ' avenue du Doyen Gaston Giraud', ' CHU de Nîmes']","(43.8333998, 4.3256918)",[],,,,University of Montpellier,,,,,,,,,,,,,,,
"Michael Waters, Deepa Raju, Helen S. Garmory, Michel R. Popoff, and Mahfuzur R. Sarker",Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases,"J. Clin. Microbiol. 2005, 43(8):4002",10.1128/JCM.43.8.4002-4009.2005,01/01/05,1,,,1,"duplicated background, pasted-in bands?",1,,,,1,1,"[12.0, nan, nan, nan]",[nan],[],"['Department of Microbiology, Oregon State University, Corvallis, Oregon 97331', 'Department of Microbiology, Oregon State University, Corvallis, Oregon 97331', 'Department of Biomedical Sciences, Defense Science and Technology Laboratory, Porton Down, Salisbury, SP4 0JQ, United Kingdom', 'Unite des Toxines Microbiennes, Institut Pasteur, 75724 Paris, Cedex 15, France', 'Department of Microbiology, Oregon State University, Corvallis, Oregon 97331']",,PhD,Biotechnology,"[' SP4 0JQ', "" 'Unite des Toxines Microbiennes"", ' Porton Down', ' Corvallis', ' 75724 Paris', ' Cedex 15', "" United Kingdom'"", ' Salisbury', "" Oregon 97331'"", "" France'""]","(44.5697, -123.278)","['corvallis', 'salisbury']",35.42%,FALSE,FALSE,Oregon State University,538,7.3,17.5,38.1,28,,,,,,,,,,
"Ana Mena, Virginia Plasencia, Laura Garci_a, Olga Hidalgo, José Ignacio Ayestarán, Sebastián Alberti, Nuria Borrell, José L. Pérez, and Antonio OliverW. Li",Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development,"J. Clin. Microbiol. 2006, 44(8):2831",10.1128/JCM.00418-06,01/01/06,,,,1,duplicated bands within same gel panel,1,,,,1,1,"[nan, 22.0, nan, nan]","[nan, nan, 0.18, 0.11, nan, nan]","[{'Journal of Traditional and Complementary Medicine', 'Revista Española de Cardiología (English Edition)', 'Oncotarget', 'Journal of Biological Chemistry'}]","['Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud', 'Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud', 'Área de Microbiología and Instituto Universitario de Investigación en Ciencias de la Salud, Universidad de las Islas Baleares', 'Servicio de Medicina Preventiva, Hospital Son Dureta', 'Servicio de Medicina Intensiva, Hospital Son Dureta, Palma de Mallorca, Spain', 'Área de Microbiología and Instituto Universitario de Investigación en Ciencias de la Salud, Universidad de las Islas Baleares', 'Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud', 'Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud', 'Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud']",,,Clostridium Difficile,"["" Spain'"", "" 'Servicio de Medicina Intensiva"", ' Palma de Mallorca', "" 'Área de Microbiología and Instituto Universitario de Investigación en Ciencias de la Salud"", "" 'Servicio de Medicina Preventiva"", "" Universidad de las Islas Baleares'"", ""'Servicio de Microbiología"", "" 'Servicio de Microbiología""]","(39.6395174, 2.6446013)","['JJQV+RR Palma, Spain']",,,,Instituto Universitario de Investigación en Ciencias de la Salud,,,,,,12.8,11.8,14.4,0,,,,,,
"Henry E. Cerny, Douglas G. Rogers, Jeffrey T. Gray, David R. Smith, and Susanne Hinkley","Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells","J. Clin. Microbiol. 2006, 44(3):772",10.1128/JCM.44.3.772-776.2006,01/01/06,,1,,,duplicated microscopy panel,1,,,,1,1,"[nan, nan, nan, 50.0]","[nan, nan, nan, 0.03, nan]","[{'Final Recommendations and Report of the Panel Review into the Coalition Government Policy on Gypsies and Travellers, Travellers Aid Trust, Carmarthenshire', 'Artificial Intelligence, Robotics and Automation in Space', 'Learning to solve problems: An instructional design guide', 'Journal of Hospice & Palliative Nursing'}]","['Crete Veterinary Clinic, Crete, Nebraska 68333-0008', 'Department of Veterinary and Biomedical Sciences, University of Nebraska—Lincoln, Lincoln, Nebraska 68583-0907', 'Department of Pathobiology, University of Guelph, Ontario Veterinary College, Guelph, Ontario, Canada N1G 2W1', 'Department of Veterinary and Biomedical Sciences, University of Nebraska—Lincoln, Lincoln, Nebraska 68583-0907', 'Department of Veterinary and Biomedical Sciences, University of Nebraska—Lincoln, Lincoln, Nebraska 68583-0907']",,,,"["" Nebraska 68333-0008'"", "" Canada N1G 2W1'"", ' Ontario', ""'Crete Veterinary Clinic"", "" Nebraska 68583-0907'"", ' Lincoln', ' Guelph', ' Crete']","(41.44, -87.6236)","['crete', 'lincoln', 'guelph', 'ontario']",,,,University of Nebraska,581,57.5,10.8,38.2,22.7,,,,,,,,,,
"Suharni Mohamad, Norhaida Che Azmi, and Rahmah Noordin","Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)","J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",10.1128/JCM.00001-09,01/01/09,1,,,1,2 adjacent lanes in same panel look very similar when one is stretched (multiplecases),1,,,,1,1,"[nan, nan]","[nan, nan, 0.16]","[{'Analytical biochemistry', 'The American journal of tropical medicine and hygiene'}]","['Institute for Research in Molecular Medicine (INFORMM), Universiti Sains Malaysia, 11800 Penang, Malaysia', 'Institute for Research in Molecular Medicine (INFORMM), Universiti Sains Malaysia, 11800 Penang, Malaysia', 'Institute for Research in Molecular Medicine (INFORMM), Universiti Sains Malaysia, 11800 Penang, Malaysia']",,PhD,Infectious Disease,"[' 11800 Penang', "" Malaysia'"", ' Universiti Sains Malaysia']","(4.210484, 101.975766)",[],,,,Universiti Sains Malaysia,148,16,58.9,16,69.6,,,,,,,,,,
"Adis Tasanarong, Supranee Kongkham, and Sookkasem Khositseth",Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction,"BioMed Research International - Volume 2013, Article ID 308130",10.1155/2013/308130,01/01/13,,,1,,Overlapping microscopy images,1,03/19/17,,1,,1,"[47.0, 50.0]","[nan, nan, nan]",[],"['Nephrology Unit, Department of Medicine, Faculty of Medicine, Thammasat University (Rangsit Campus), Khlong Nueng, Khlong Luang, Pathum Thani 12121, Thailand', 'Division of Biochemistry, Department of Preclinical Sciences, Faculty of Medicine, Thammasat University (Rangsit Campus), Khlong Nueng, Khlong Luang, Pathum Thani 12121, Thailand', 'Department of Paediatric, Faculty of Medicine, Thammasat University (Rangsit Campus), Khlong Nueng, Khlong Luang, Pathum Thani 12121, Thailand']",,,,"[' Khlong Luang', ""'Nephrology Unit"", ' Pathum Thani 12121', "" Thailand'"", ' Khlong Nueng']","(14.0649, 100.6447)",['khlong luang'],33.25%,FALSE,FALSE,Thammasat University,632,3.7,23.2,2.2,27.7,26.3,,32.4,,,,,,,
"Anahita Rahmani, Danial Kheradmand, Peyman Keyhanvar, Alireza Shoae-Hassani, and Amir Darbandi-Azar",Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells,"BioMed Research International, Volume 2013, Article ID 582526",10.1155/2013/582526,01/01/13,,,1,Paul Higgins,Rotated microscopy images,1,02/01/15,,1,,1,"[nan, 50.0, nan, nan]","[nan, nan, 0.36, 0.36, 0.56]","[{'The Handbook of Nanomedicine', 'Iranian Heart Journal', 'BioMed Research International', 'BONE MARROW TRANSPLANTATION'}, {'BioMed Research International'}, {'Journal of Renal Injury Prevention', 'BioMed Research International', 'International Journal of Radiation Oncology* Biology* Physics'}]","['Stem Cell and Tissue Engineering Department, Research Center for Science and Technology in Medicine (RCSTiM), Tehran University of Medical Sciences, Tehran, Iran', 'Faculty of Medicine, Islamic Azad University, Mashhad Branch, Mashhad 19988-96953, Iran', 'Medical Nanotechnology Department, School of Advanced Technologies in Medicine, Tehran University of Medical Sciences, Tehran, Iran', 'Rajaei Cardiovascular, Medical, and Research Centre, Iran University of Medical Sciences, P.O. Box 14185-615, Tehran, Iran', 'Stem Cell and Tissue Engineering Department, Research Center for Science and Technology in Medicine (RCSTiM), Tehran University of Medical Sciences, Tehran, Iran', 'Rajaei Cardiovascular, Medical, and Research Centre, Iran University of Medical Sciences, P.O. Box 14185-615, Tehran, Iran']",,,,"["" 'Rajaei Cardiovascular"", ' Tehran', "" Iran'"", ' Mashhad 19988-96953', ' Mashhad Branch', ' Medical', ' P.O. Box 14185-615']","(35.7, 51.4167)",['tehran'],33.43%,FALSE,FALSE,Tehran University,,,,,,1.7,-1,5.4,0,,,7.7,,,
"Gurbet Celik, Asli Semiz, Serdar Karakurt, Sevki Arslan, Orhan Adali, and Alaattin Sen",A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat,"BioMed Research International Volume 2013, Article ID 358945",10.1155/2013/358945,01/01/13,,1,,,Multiple cases of reused blot panels,1,12/01/14,,1,,1,"[29.0, 50.0, nan, 50.0]","[nan, 0.28, 0.36, nan, 0.13, 0.16]","[{'Biochemistry (Moscow)', 'African journal of Biotechnology', 'Ecotoxicology and Environmental Safety'}, {'DRUG METABOLISM REVIEWS'}, {'DRUG METABOLISM REVIEWS', 'Turkish Journal of Zoology', 'Archives of Biochemistry and Biophysics', 'American journal of hematology', 'Toxicology Letters'}, {'Thorax'}]","['Department of Biology, Pamukkale University, Kinikli Campus, 20070 Denizli, Turkey', 'Department of Biology, Pamukkale University, Kinikli Campus, 20070 Denizli, Turkey', 'Department of Biochemistry, Institute of Natural and Applied Science, Middle East Technical University, 06800 Ankara, Turkey', 'Department of Biology, Pamukkale University, Kinikli Campus, 20070 Denizli, Turkey', 'Department of Biochemistry, Institute of Natural and Applied Science, Middle East Technical University, 06800 Ankara, Turkey', 'Department of Biology, Pamukkale University, Kinikli Campus, 20070 Denizli, Turkey', 'Faculty of Art & Sciences, Biology Department, Pamukkale University, Kinikli, 20070 Denizli, Turkey']",,Dr.,Molecular Biology,"[' 20070 Denizli', ' Kinikli Campus', ' 06800 Ankara', "" Turkey'"", ' Kinikli']","(37.7830159, 29.0963328)",[],33.81%,FALSE,FALSE,Pamukkale University,,,,,,9.2,6.5,12.7,0.5,,,,,,
"Young-Man Lee, Q-Schick Auh, Deok-Won Lee, Jun-Yeol Kim, Ha-Jin Jung, Seung-Ho Lee, and Eun-Cheol Kim",Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,"BioMed Research International Volume 2013, Article ID 210604",10.1155/2013/210604,01/01/13,1,1,,George Perry,"Several cuts, reused blot panel",1,07/01/14,,1,,1,"[50.0, 50.0, nan, nan]","[nan, 0.28, nan, nan, nan, 0.25, nan, nan]","[{'Journal of Oral Medicine and Pain'}, {'Journal of the Society of Cosmetic Scientists of Korea', 'Genes & Genomics', 'Journal of Life Science', 'Journal of Biological Chemistry'}]","['Department of Maxillofacial Tissue Regeneration and Research Center for Tooth & Periodontal Regeneration, School of Dentistry, Kyung Hee University, 1 Heogi-dong, Dongdaemun-gu, Seoul 130-701, Republic of Korea', 'Department of Oral Medicine, School of Dentistry, Kyung Hee University, Heogi-dong, Dongdaemun-gu, Seoul 130-701, Republic of Korea', 'Department of Oral and Maxillofacial Surgery, School of Dentistry, Kyung Hee University, Heogi-dong, Dongdaemun-gu, Seoul 130-701, Republic of Korea', 'Department of Maxillofacial Tissue Regeneration and Research Center for Tooth & Periodontal Regeneration, School of Dentistry, Kyung Hee University, 1 Heogi-dong, Dongdaemun-gu, Seoul 130-701, Republic of Korea', 'Department of Maxillofacial Tissue Regeneration and Research Center for Tooth & Periodontal Regeneration, School of Dentistry, Kyung Hee University, 1 Heogi-dong, Dongdaemun-gu, Seoul 130-701, Republic of Korea', 'College of Pharmacy, College of Pharmacy, Yeungnam University, Gyeongsan 712-749, Republic of Korea', 'Department of Maxillofacial Tissue Regeneration and Research Center for Tooth & Periodontal Regeneration, School of Dentistry, Kyung Hee University, 1 Heogi-dong, Dongdaemun-gu, Seoul 130-701, Republic of Korea']",,,,"[' Dongdaemun-gu', ' Seoul 130-701', "" Republic of Korea'"", ' Heogi-dong', ' 1 Heogi-dong', ' Gyeongsan 712-749']","(37.5950926, 127.0518338)","['H3W2+2P Seoul, South Korea']",34.21%,FALSE,FALSE,Kyung Hee University,265,4.2,26.4,15.2,85.5,-5.2,,0,2,99,,,,,
"Chih-Zen Chang, Shu-Chuan Wu, and Aij-Lie Kwan","Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","BioMed Research International, Volume 2014, Article ID 272101",10.1155/2014/272101,01/01/14,,,1,,"Two sets of duplicated blot panels, one rotated",1,01/12/16,,1,,1,"[nan, 50.0]","[nan, nan, nan]",[],"['Department of Surgery, Faculty of Medicine, School of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan', 'Department of Neurosurgery, Kaohsiung Medical University Hospital, No. 100, Tzyou 1st Road, Kaohsiung 80752, Taiwan', 'Department of Surgery, Kaohsiung Municipal Ta Tung Hospital, Kaohsiung, Taiwan', 'Department of Neurosurgery, Kaohsiung Medical University Hospital, No. 100, Tzyou 1st Road, Kaohsiung 80752, Taiwan', 'Department of Surgery, Faculty of Medicine, School of Medicine, Kaohsiung Medical University, Kaohsiung, Taiwan', 'Department of Neurosurgery, Kaohsiung Medical University Hospital, No. 100, Tzyou 1st Road, Kaohsiung 80752, Taiwan']",,,,"[' Kaohsiung', ' Kaohsiung 80752', "" Taiwan'"", ' No. 100', ' Tzyou 1st Road']","(22.6167, 120.3)",['kaohsiung'],34.02%,FALSE,FALSE,Kaohsiung Medical University,,,,23.8,42.5,20.1,15,27,,,,7.6,,,
"Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-González, and Rossana Arroyoi",__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,"BioMed Research International Volume 2014, Article ID 424767",10.1155/2014/424767,01/01/14,,1,,,Multiple cases of reused blot strips,1,05/23/16,,1,,1,"[50.0, 50.0, nan]","[nan, nan, 0.14]","[{'Parasitology', 'GLIA'}]","['Departamento de Infectómica y Patogénesis Molecular, Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN), 07360 México, DF, Mexico', 'Departamento de Infectómica y Patogénesis Molecular, Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN), 07360 México, DF, Mexico', 'Departamento de Infectómica y Patogénesis Molecular, Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN), 07360 México, DF, Mexico', 'Departamento de Infectómica y Patogénesis Molecular, Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN), 07360 México, DF, Mexico']",,,,"["" Mexico'"", ' 07360 México', ' DF', ' Centro de Investigación y de Estudios Avanzados del IPN (CINVESTAV-IPN)']","(15.0667, 120.7167)",['mexico'],,,,The Center for Research and Advanced Studies of the National Polytechnic Institute,,,,,,,,,,,,,,,
"Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang",Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,"BioMed Research International, Volume 2014, Article ID 164391",10.1155/2014/164391,01/01/14,,,1,,Shifted actin blot panels,1,12/05/16,1,,,1,"[nan, nan, 50.0, nan]","[nan, 0.71, nan, 0.31, 0.25, 0.15, 0.13, 0.36, nan]","[{'IASS Symposium 2019 & Structural Membranes 2019-Form and Force', 'Journal of Structural Engineering', 'Structural and Multidisciplinary Optimization', 'Proceedings of IASS Annual Symposia'}, {'Analytical chemistry', 'Science'}, {'International Journal of Modern Physics C'}, {'Mechanics and Mechanotransduction of Adherent Cells: A Compendium of Atomic Force Microscopy Studies', 'Journal of Applied Physiology'}, {'arXiv preprint arXiv:1003.0735', '信息與控制', '2009 17th International Conference on Geoinformatics', 'JOURNAL-MEDICAL COLLEGES OF PLA-ENGLISH EDITION-', '2009 47th Annual Allerton Conference on Communication, Control, and Computing (Allerton)'}, {'Multi-scale Theoretical Modeling of Twisted Van Der Waals Bilayers', 'Nature', 'arXiv preprint arXiv:2202.01902', 'Physical Review A', 'Workshop on Coupled Mathematical Models for Physical and Nanoscale Systems and their Applications'}]","['Zhang Zhongjing College of Chinese Medicine, Nanyang Institute of Technology, China', 'School of Pharmaceutical Sciences, Zhengzhou University, China', 'Zhang Zhongjing College of Chinese Medicine, Nanyang Institute of Technology, China', 'Department of Pharmacy, First Affiliated Hospital of Zhengzhou University, China', 'School of Pharmaceutical Sciences, Zhengzhou University, China', 'Henan Academy of Medical and Pharmaceutical Sciences, Zhengzhou University, Zhengzhou Henan 450052, China', 'Henan Academy of Medical and Pharmaceutical Sciences, Zhengzhou University, Zhengzhou Henan 450052, China', 'Henan Academy of Medical and Pharmaceutical Sciences, Zhengzhou University, Zhengzhou Henan 450052, China', 'Henan Academy of Medical and Pharmaceutical Sciences, Zhengzhou University, Zhengzhou Henan 450052, China', 'Henan Academy of Medical and Pharmaceutical Sciences, Zhengzhou University, Zhengzhou Henan 450052, China']",,,,"["" China'"", ' Zhengzhou Henan 450052']","(27.3336, 128.5736)",['china'],33.81%,FALSE,FALSE,Zhengzhou University,,,,,,,,,,,,,,,
"Silvana Lorena Della Penna, Gabriel Cao, Andrea Carranza, Elsa Zotta, Susana Gorzalczany, Carolina Susana Cerrudo, Natalia Luci_a Rukavina Mikusic, Alicia Correa, Verónica Trida, Jorge Eduardo Toblli, María Inés Rosón, and Belisario Enrique Fernándezlypep",Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,"BioMed Research International, Volume 2014, Article ID 936978",10.1155/2014/936978,01/01/14,,1,,,"Duplicated microscopy images, and other panels taken from previous paper",1,09/01/14,,1,,1,"[50.0, 50.0, nan, nan]","[nan, nan, 0.23, 0.22, nan, nan, nan, 0.11, nan]","[{'BioMed Research International', 'Medicina (Buenos Aires)', 'REVISTA DE NEFROLOGIA DIALISIS Y TRASPLANTE'}, {'International Journal of Nephrology'}, {'Runoff sources and flowpath dynamics in the Andean Páramo', 'Hydrological Processes'}]","['Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Cátedra de Fisiopatología, Facultad de Farmacia y Bioquímica, UBA, Junín 956, Piso 5, 1113 Buenos Aires, Argentina', 'Laboratory of Experimental Medicine, Hospital Alemán, Buenos Aires, Argentina', 'Department of Pharmacology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Pharmacology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Clinical Biochemistry, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Laboratory of Experimental Medicine, Hospital Alemán, Buenos Aires, Argentina', 'Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina', 'Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina']",,PhD,Immunohistochemistry,"[' Buenos Aires', "" Argentina'"", ' Junín 956', ' INFIBIOC-CONICET', "" 'Cátedra de Fisiopatología"", ' Facultad de Farmacia y Bioquímica', ' Piso 5', ' UBA', ' 1113 Buenos Aires']","(-34.5997, -58.3819)",['buenos aires'],32.87%,FALSE,FALSE,University of Buenos Aires,,,,,,27.6,22.8,32,,,20,11,,,
"Mao-Lin Ho, Yih-Shou Hsieh, Jia-Yuh Chen, Kuo-Shuen Chen, Jia-Jing Chen, Wu-Hsien Kuo, Shu-Jiuan Lin, and Pei-Ni Chen",Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,"Evidence-Based Complementary, and Alternative Medicine, Volume 2011, Article ID 507920",10.1155/2011/507920,01/01/11,,,1,,Two sets of rotated microscopy images,1,11/11/15,,1,,1,"[50.0, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]",[],"['Institute of Medicine, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Department of Biochemistry, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Clinical Laboratory, Chung Shan Medical University Hospital, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Institute of Medicine, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Institute of Medicine, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Department of Internal Medicine, Chung Shan Medical University Hospital, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Institute of Biochemistry and Biotechnology, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Division of Gastroenterology, Department of Internal Medicine, Armed-Force Taichung General Hospital, Taichung 411, Taiwan', 'General Education Center, Central Taiwan University of Science and Technology, No. 11 Pu-tzu Lane, Pu-tzu Road, Taichung 406, Taiwan', 'Department of Pathology, Taichung Veterans General Hospital, Taichung 407, Taiwan', 'Clinical Laboratory, Chung Shan Medical University Hospital, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan', 'Institute of Biochemistry and Biotechnology, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan']",,,,"[' Pu-tzu Road', "" 'General Education Center"", ' Taichung 406', "" Taiwan'"", ' No. 110', ' No. 11 Pu-tzu Lane', ' Taichung 407', ' Taichung 411', ' Taichung 402', ' Jianguo N. Road']","(24.77916, 112.38158)",[],34.34%,FALSE,FALSE,Chung Shan Medical University,,,,,,,,,,,,,,,
"Chao-Bin Yeh, Ming-Ju Hsieh, Yih-Shou Hsieh, Ming-Hsien Chien, Pen-Yuan Lin, Hui-Ling Chiou, and Shun-Fa Yang",Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292",10.1155/2012/595292,01/01/12,,,1,,overlapping microscopy images,1,11/15/15,,1,,1,"[50.0, 50.0, 50.0, 50.0]","[nan, nan, nan, nan, nan, 0.24]","[{'中山醫學雜誌', 'Cancer letters', 'BMJ open', 'Tumor Biology'}]","['School of Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'Department of Emergency Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'Department of Emergency Medicine, Chung Shan Medical University Hospital, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'School of Medical Laboratory and Biotechnology, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'Institute of Biochemistry and Biotechnology, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'Wan Fang Hospital, Taipei Medical University, Taipei, Taiwan', 'Graduate Institute of Clinical Medicine, College of Medicine, Taipei Medical University, Taipei, Taiwan', 'School of Pharmacy, Taipei Medical University, Taipei, Taiwan', 'School of Medical Laboratory and Biotechnology, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'Institute of Medicine, Chung Shan Medical University, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan', 'Department of Medical Research, Chung Shan Medical University Hospital, 110 Chien-Kuo N. Road, Section 1, Taichung 402, Taiwan']",,"MD, PhD",,"["" Taiwan'"", ' Taipei', ' Taichung 402', ' 110 Chien-Kuo N. Road']","(25.0478, 121.5319)",['taipei'],34.34%,FALSE,FALSE,Chung Shan Medical University,,,,,,15.2,14,16,,,58,12.8,,,
