author,Publication Rate
 Hideaki Miyake,0.16
 Mototsugu Muramaki,N/A
 Satoko Hikosaka,N/A
 Sadao Kamidono,N/A
 Takayuki Kobayashi,0.31
 Yoji Kato,0.16
 Nobutaka Wakamiya,N/A
 Kazuyoshi Ikuta,N/A
 Tomoyuki Tanaka,0.16
 Shigeharu Ueda,N/A
 Hiroyuki Miyamoto,0.09
 Shiro Kato,N/A
 Dowlathabad. Muralidhar Rao,N/A
 Hosur Joyappa Dechamma,0.21
 Veluvarthy V.S. Suryanarayana,N/A
 Golla Ramalinga Reddy,N/A
 D. Gu,0.17
 L. Sheng,0.14
 Q. Wang,0.12
 Y. Zhang,N/A
 Jessica Cleiss-Arnold,N/A
 Caroline Proux,0.38
 Odile Sismeiro,N/A
 Marie-Agne_s Dillies,N/A
 Florence Goulhen-Chollet,N/A
 Florence Hommais,N/A
 Didier Li�vremont,N/A
 Florence Ars�ne-Ploetze,N/A
 Jean-Yves Copp�e,N/A
 Philippe N Bertin Gi,N/A
 Christopher J Law,0.25
 Wenfei Jin,0.38
 Alika Maunakea,0.21
 Brian Abraham,0.07
 Misook Ha,0.31
 Keji Zhao,0.17
 Jack L Arbiser,N/A
 Michael Y Bonner,0.31
 Neeraj K Saxena,N/A
 Dipali Sharma,0.06
 Jacob Whitworth,N/A
 Faith Nutter,N/A
 Alyson Evans,0.24
 Hannah K Brown,N/A
 Diane V Lefley,N/A
 Ivana Barbaric,0.31
 __Mark Jones,0.07
 Penelope D Ottewell,N/A
 Amal A Al-Odaini,N/A
 Ani Arakelian,N/A
 Shafaat A Rabbani,0.13
 Suhad Ali,0.15
 Jean-Jacques Lebrun,N/A
 Lance David Miller,0.19
 Xiu Bin Chan,N/A
 Michael A Black,0.15
 Brendan Pang,N/A
 Chee Wee Ong,0.36
 Manuel Salto-Tellez,N/A
 Edison T Liu,N/A
 Kartiki V Desai,0.20
 Nade_ge Fils-Aim�,N/A
 Manuel A Villatoro,N/A
 Jimin Guo,0.31
Jean Jacques Lebrunn,N/A
 Siqi Shen,0.38
 Zhiling Zhang,0.29
 Weiwei Zhang,0.14
 Wei Xiao,0.19
 Olga N. Shifrina,N/A
 Marina S. Savchenko,N/A
 Natalya K. Tikhomirova,N/A
 Maria A. Goncharskaia,N/A
 Vera A. Gorbunova,N/A
 Ivan I. Senin,N/A
 Alexandr G. Chuchalin,N/A
 Pavel P. Philippov,0.50
 Alexandr V. Bazhin,N/A
 Sofia A. Demoura,N/A
 Eugenia A. Kogan,N/A
 Giorgia Zadra,0.26
 Valentina Vaira,0.31
 Monica Falleni,N/A
 Luca Bottiglieri,N/A
 Mario Nosotti,N/A
 Anna Maria Di Giulio,N/A
 Alfredo Gorio,N/A
 Silvano Bosari,0.13
 Greg Hodge,N/A
 Ann M. Reynolds,N/A
 Sandra Hodge,0.21
 Mark D. Holmes,0.11
 Andrew H. Baker,N/A
 Paul N. Reynolds,0.23
 Shih-Ping Chen,N/A
 Chia-Wei Lin,0.18
 Wan-Chun Cheng,0.62
 Hwei-Tien Huang,N/A
 Yan Wang,0.23
 Gui-Yang Jiang,N/A
 Peng-Xin Zhang,N/A
 Xin-Jun Dong,N/A
 Qiang Wei,0.36
 Hong-Tao Xu,0.28
 Qing-Chang Li,N/A
 Chen Zhao,0.24
 En-Hua Wang,N/A
 Naoko Sueoka-Aragane,N/A
 Akemi Sato,0.08
 Takashi Hisatomi,0.33
 Toru Sakuragi,N/A
 Masahiro Mitsuoka,N/A
 Toshimi Sato,0.14
 Shinichiro Hayashi,N/A
 Hiroto Izumi,N/A
 Makoto Tsuneoka,N/A
 Eisaburo Sueoka,N/A
 Aydin Demiray,N/A
 Onur Tokgun,0.28
 Jun Yokota,N/A
 Shinichi Toyooka,N/A
 Junichi Soh,0.24
 Takafumi Kubo,N/A
 Hiromasa Yamamoto,N/A
 Yuho Maki,N/A
 Takayuki Muraoka,N/A
 Kazuhiko Shien,N/A
 Masashi Furukawa,0.22
 Tsuyoshi Ueno,N/A
 Hiroaki Asano,N/A
 Kazunori Tsukuda,0.19
 Keisuke Aoe,N/A
 Shinichiro Miyoshi,N/A
 Weili Zhou,0.33
 William W. Cruikshank,N/A
 Rujuan Dai,N/A
 Lo�c Petzold,N/A
 Patrice Therond,N/A
 Wayne B. Anderson,N/A
 Daniele Evain-Brion,N/A
 Francoise Raynaud,N/A
 S. Lisi,0.20
 D. Castellana,0.26
 P. Scagliusi,N/A
 M. D'Amore,0.45
 S. Caprio,0.42
 A. Scagliusi,0.38
 A. Acquafredda,N/A
 M.A. Panaro,0.16
 V. Mitolo,N/A
 Shlomo Nedvetzki,N/A
 Ira Golan,N/A
 Lora Eshkar-Sebban,N/A
 David Levartovsky,N/A
 Ori Elkayam,N/A
 Dan Caspi,0.28
 Suhail Aamar,N/A
 Howard Amital,N/A
 Alan Rubinow,N/A
 David Naor,0.03
 Bin Ma,0.21
 Baojun Dong,N/A
 Peng Zhao,0.31
 Ningwen Tai,0.24
 Li Chen,0.07
 F. Susan Wong,0.18
 Li Wen,0.10
 Miri Blank,N/A
 Sandra Reuter,0.50
 Torsten Matthias,N/A
 Inbal Beiglass,N/A
 Alexander Volkov,0.10
 Iris Barshack,N/A
 Yehuda Shoenfeld,0.10
 Christina Abou-Chahine,N/A
 Randa Hilal-Dandan ,N/A
 Ji-Gang Chen,N/A
 Jin-Yong Wang,N/A
 Jian-Xiang Wu,N/A
 Hui Gong,0.17
 Sawsan Ibrahim Kreydiyyeh,N/A
 Jin-Woo Cho,1.00
 Sang-Cheol Kim,0.28
 Kyung-Hwa Kang,N/A
 Sun-Kyung Lee,1.33
 Sung-Hee Pi,N/A
 Suk-Keun Lee,N/A
 Eun-Cheol Kim,N/A
 Ariel D. Quiroga,N/A
 Mar�a Teresa Ronco,N/A
 Juan Pablo Parody,N/A
 J. Elena Ochoa,N/A
 Juan A. Monti,N/A
 Cristina E. Carnovale,N/A
 Mar�a Cristina Carrillo ,N/A
 Mariateresa Vitiello,N/A
 Marina D�Isanto,0.23
 Katia Raieta,N/A
 Emilia Galdiero,0.14
 Sarine Markossian ,N/A
 Ji-Houn Kang,N/A
 Geun-Shik Lee,0.21
 Eui-Bae Jeung,0.17
 Mhan-Pyo Yang ,N/A
 Hsing-Hui Li,N/A
 Yu-Hsiang Hsu,0.02
 Chung-Liang Ho,N/A
 Shih-Sung Chuang,N/A
 Kuo-Mao Lan,N/A
 Ming-Shi Chang,N/A
 J. Hofmanov�,N/A
 J. Pachern�k,N/A
 A. Vaculov�,N/A
 A. Kozub�keSung,N/A
 Tuneyoshi Ka,N/A
 Asako Yamamoto,N/A
 Yuji Moriwaki,N/A
 Sumio Takahashi,N/A
 Zenta Tsutsumi,N/A
 Daisuke Tamada,0.28
 Tetsuya Yamamoto,0.05
 Qiong Wen,N/A
 Shu-Feng Zhou,N/A
 Xue-Qing Yu,N/A
 Satish K. Srivastava,N/A
 Kota V. Ramana,N/A
 Yoshihiko Chiba,0.20
 Miwa Misawa,N/A
 Elizabeth S. Klings,N/A
 Adam Odhiambo,N/A
 Guihua Li,N/A
 Harrison W. Farber,N/A
 Martin H. Steinberg,0.10
 Ying Xu,0.14
 Wei Li,0.24
 Guanjun Wang,N/A
 Yanqiu Song,N/A
 Guozi Yang,N/A
 Xue Han,0.28
 Zhonghua Du,1.00
 Luguo Sun,N/A
 Kewei Ma,N/A
 Zeina Dakroub,N/A
 Ola El Zein,0.42
 Yuhao Sun,0.08
 Courtney Haycraft,N/A
 Viswanathan Palanisamy,0.14
 Keith L. Kirkwood,N/A
 Sabrina Bauer,N/A
 Hilke Bru_hl,N/A
 Kristina Eisinger,N/A
 Andrea Kopp,1.67
 Sabine Abke,N/A
 RolWalter,N/A
 Andreas Sch�ffler,N/A
 Christa Buechler n,N/A
 Liya Huang,N/A
 Yunwei Sun,0.15
 Yaozong Yuan,N/A
 Hu-Rong Sun,N/A
 Chang Yu,0.36
 Yi Lai,0.19
 Xiao-Jing Liu,N/A
 Jiang Wu,0.00
 Huai-Qing Chen,N/A
 Xiao-Heng Liu,N/A
 Ye Qu,0.50
 Xiu Long Niu,N/A
 Wei Jia Sun,0.83
 Xiao Lei Zhang,0.50
 Ling Zhi Li,0.31
 Dong-Mei Zhang,N/A
 Xiang-Jun Zeng,N/A
 Jing Mu,1.33
 Hui Yang,0.23
 Ling-Qiao Lu,N/A
 Li-Ke Zhang,N/A
 Mickey E. Gunter,N/A
 Naomi K. Fukagawa,0.13
 Young-Suk Kim,0.17
 Yu-Mi Jung,0.38
 Sang-Im Lee,0.45
 Young-Man Lee,N/A
 Jae-Beum Bang,N/A
 Munmun Chattopadhyay ,0.20
 Bo Li,0.16
 Yue-Hua Yang,N/A
 Jiang-Wei Chen,N/A
 Ke Chen,0.10
 Sheng-Dan Jiang,N/A
 Lei-Sheng Jiang ,N/A
 Jinglan Wang,1.25
 Gil Mor,0.19
 Jeffrey Sklar,N/A
 Jeremy Allegood,N/A
 Michael Maceyka,N/A
 Graham M. Strub,N/A
 Kuzhuvelil B. Harikumar,N/A
 Sandeep K. Singh,0.08
 Cheng Luo,0.14
 Ronen Marmorstein,0.14
 Tomasz Kordula,0.16
 Sheldon Milstien,N/A
 Sarah Spiegel,0.12
 Sefik Evren Erdener,0.42
 Yasemin Gursoy-Ozdemir,0.22
 Sevda Lule,0.42
 Emine Eren-Koc_ak,N/A
 Z�mr�t Duygu Sen,N/A
 Turgay Dalkaraen,N/A
 Masato Enari,N/A
  Shigekazu Nagata,0.10
 Heiko Hermeking,N/A
 Christoph Lengauer,N/A
 Kenneth W. Kinzler,N/A
  Bert Vogelstein,0.11
 Michael Hsu,0.15
  Irina M. Conboy,0.18
 Zhenning Liu,0.75
 Sen Zhang,0.13
 Pixu Liu,N/A
 Lei Zhang,0.22
 Sang Hyun Lee,0.16
 Jing Zhang,0.12
 Sabina Signoretti,0.19
 Massimo Loda,0.16
 Thomas M. Roberts,0.15
  Jean J. Zhao,N/A
 Barend H. J. de Graaf,N/A
 Natalie Hadjiosif,N/A
 Ruth M. Perry,N/A
 Natalie S. Poulter,0.33
 Kim Osman,N/A
 Sabina Vatovec,N/A
 Andrea Harper,0.03
 F. Christopher H. Franklin,0.11
  Vernonica E. Franklin-Tong,0.15
 Fabienne Lesueur,0.50
 Sandy Giuliano,N/A
 Thomas Strub,0.45
 Mahaut de Lichy,N/A
 Karine Bille,N/A
 Philippe Dessen,N/A
 many others,0.07
 Qibing Lin,1.00
 Lihong Zhu,N/A
 Yulong Ren,N/A
 Kunneng Zhou,N/A
 Nitzan Shabek,0.29
 Fuqing Wu,0.42
 Haibin Mao,N/A
 Wei Dong,0.33
 Lu Gan,0.08
 Weiwei Ma,0.50
 He Gao,0.83
 Jun Chen,0.19
 Chao Yang,0.15
 Dan Wang,0.08
 Junjie Tan,0.56
 Xin Zhang,0.31
 Xiuping Guo,N/A
 Jiulin Wang,0.24
 Ling Jiang,0.45
 Xi Liu,0.38
 Weiqi Chen,0.71
 Jinfang Chu,N/A
 Cunyu Yan,0.26
 Kotomi Ueno,N/A
 Shinsaku Ito,0.29
 Tadao Asami,0.09
 Zhijun Cheng,0.36
 Jie Wang,0.19
 Cailin Lei,N/A
 Huqu Zhai,N/A
 Chuanyin Wu,N/A
 Haiyang Wang,0.24
 Ning Zheng,0.17
 Jianmin Wan,0.16
 R Raja,0.20
 D Thorat,0.10
 G Soundararajan,0.29
 TV Patil GC Kundu,N/A
 P Taylor,0.04
 M Gireud,0.19
 A Singh,0.07
 D Lee,0.13
 G Fuller,0.10
 L Ji,0.08
 J Fangusaro,0.28
 V Rajaram,0.31
 S Goldman,0.11
 C Eberhart,0.24
 V Gopalakrishnan,0.56
 A Croft,0.17
 H-Y Tseng,0.83
 ST Guo,0.12
 L Jin,0.15
 P Hersey,0.10
 XD Zhang,0.10
 X Liu,0.18
 B Feng,0.14
 N Liu,0.14
 Q Wu,0.02
 Y Han,0.14
 Y Nie,0.17
 K Wu,0.06
 Y Shi,0.06
 D Fan,0.24
 S-C Lin,0.16
 P-S Lu,0.50
 W-C Chang,0.19
 C-Y Hung,0.16
 Y-M Yeh,0.24
 W-C Su,0.21
 P-C Liao,0.18
 J-J Hung,N/A
 Franck Coumailleau,N/A
 Jean-Franc_ois Ottavi,N/A
 Julien Moretti,0.42
 Claude Boucheix,N/A
 Philippe Mauduit,N/A
 Fran�ois Schweisguth,N/A
 Eric Rubinstein 1,N/A
 RYOTA OSHIRO,N/A
 MASAHISA OHTSUKA,N/A
 MAMORU UEMURA,N/A
 NAOTSUGU HARAGUCHI,N/A
 JUNICHI NISHIMURA,0.38
 ICHIRO TAKEMASA,N/A
 TSUNEKAZU MIZUSHIMA,0.14
 YUICHIRO DOKI MASAKI MORI,N/A
 YUEHUA YANG,1.00
 SHENGDAN JIANG,N/A
 BINBIN NI,0.24
 KE CHEN,0.10
 LEISHENG JIANG,N/A
 UK HYUN JO,N/A
 HOISEON JEONG,N/A
 YOUNG MI WHANG,N/A
 OK HEE WOO,N/A
 KYU RAN CHO,0.24
 JAE HONG SEO,0.38
 AEREE KIM,0.25
 EUN SOOK LEE,0.83
 INSONG KOH,N/A
 YEUL HONG KIM,N/A
 KYONG HWA PARK,N/A
 JUN-ICHI OKANO,0.29
 TAKAKAZU NAGAHARA,N/A
 RYO ABE,N/A
 RYU IMAMOTO,N/A
 YOSHIKAZU MURAWAKI,N/A
 YUAN-CHING CHANG,N/A
 MICHAEL S. LAN,N/A
 MARY BRESLIN,N/A
 XIAOYUAN WANG,0.83
 WEI ZHENG,0.15
 KEDONG LI,N/A
 HAOFENG LIU,2.50
 YUEMING SUN,0.50
 KAZUMA NOGUCHI,N/A
 YOSHIRO NAKANO,0.10
 EMI SEGAWA,N/A
 YUSUKE ZUSHI,N/A
 KAZUKI TAKAOKA,N/A
 HIROMITSU KISHIMOTO,N/A
 TOMOKO HASHIMOTO-TAMAOKI,N/A
 MASAHIRO URADE,N/A
 CHIARA LIVERANI,N/A
 LAURA MERCATALI,N/A
 EMANUELE SACANNA,0.50
 MICHELE ZANONI,0.50
 FRANCESCO FABBRI,0.09
 WAINER ZOLI,N/A
 DINO AMADORI,0.38
 YUEPING LIU,N/A
 CUIZHI GENG,N/A
 XIAOWEI QI,0.38
 JUN JIANG,0.56
 Irina Nickeleit,N/A
 Torsten Wuestefeld,0.22
 Inga So _rensen,N/A
 Daniel Dauch,0.45
 Przemyslaw Bozko,0.21
 Mona El-Khatib,0.38
 Robert Geffers,0.23
 Hueseyin Bektas,0.42
 Michael P. Manns,N/A
 Achim Gossler,N/A
 Ludwig Wilkens,N/A
 Ruben Plentz,N/A
 Lars Zender,0.22
 Nisar P. Malek,N/A
 JoAnne Montalbano,N/A
 Constantina Mihai,N/A
 Ian G. Macara,N/A
 Zibo Zhao,0.56
 Mark B. Meyer,0.24
 Sandeep Saha,0.36
 Menggang Yu,0.13
 Ailan Guo,N/A
 Kari B. Wisinski,N/A
 Wei Huang,N/A
 Weibo Cai,0.25
 J. Wesley Pike,N/A
 Ming Yuan,0.17
 Paul Ahlquist,N/A
 Wei Xu,0.23
 Ulrich Schieborr,N/A
 Krishna Saxena,0.12
 Jarek Juraszek,N/A
 Frederik De Smet,0.28
 Chantal Alcouffe,N/A
 Marc Bianciotto,N/A
 Giorgio Saladino,0.33
 David Sibrac,N/A
 Denis Kudlinzki,N/A
 Sridhar Sreeramulu,N/A
 Alan Brown,0.12
 Patrice Rigon,N/A
 Jean-Pascal Herault,N/A
 Gilbert Lassalle,0.08
1 Tom L. Blundell,N/A
 Frederic Rousseau,0.18
 Ann Gils,0.12
 Joost Schymkowitz,N/A
 Peter Tompa,0.14
 Jean-Marc Herbert,N/A
 Peter Carmeliet,0.13
 Francesco Luigi Gervasio,0.21
 Harald Schwalbe,0.17
 Francoise Bono,N/A
 Yan-Jie Zhang,N/A
 Yue-Hua Wei,N/A
 Jun-Hung Cho,N/A
 Laura E. Morris,N/A
 Hui-Yun Wang,N/A
 X.F. Steven Zheng,N/A
 Zhonghua Zhou,0.21
 Yi-Min She,N/A
 Alex Chun,0.24
 Terry D. Cyr,0.10
 Xiaolong Yang,0.19
 Uta Wieland,N/A
 He_l�ne Rangone,N/A
 Xavier Pinson,N/A
 Guojie Mao,N/A
 Nikola S. Dzhindzhev,N/A
 Doris McLean,N/A
5,0.07
 Maria G. Riparbelli,N/A
 Salud Llamazares,N/A
 Giuliano Callaini,N/A
 Cayetano Gonzalez,0.00
 David M. GloverR,0.10
 Julong Cheng,N/A
 Yingjie Peng,0.33
 Teresa M. Jones,N/A
 Diana I. Ruiz,0.25
 Richard J. Ulevitch,N/A
 John I. Glass,N/A
 Edward A. Dennis,N/A
 Daniel R. Salomon,N/A
 Richard A. Lerner,N/A
 Yuji Yamamoto,0.19
 Jeremie Boucher,0.23
 Jonathon N. Winnay,N/A
 Stephane Gesta,N/A
 John Cobb,0.17
 Matthias Blu_her,N/A
 C. Ronald Kahn,0.09
 Bryce G. Johnson,N/A
 Yujiro Kida,N/A
 Colin Ip,N/A
 Kathryn C. Davidson,N/A
 Shuei-Liong Lin,0.19
 Akio Kobayashi,0.23
 Richard A. Lang,0.14
 Anna-Katerina Hadjantonakis,0.19
 Randall T. Moon,0.11
 Jeremy S. Duffield,N/A
 Yanping Wu,1.67
 Haifeng Wang,0.15
 Yangqing Zhang,0.14
 Lin Mei,0.16
 Xuexun Fang,N/A
 Xudong Zhang,0.16
 Fang Zhang,0.16
 Hongbo Chen,0.83
 Ying Liu,0.17
 Yuyang Jiang,N/A
 Shengnan Sun,0.42
 Yi Zheng,0.16
 Na Li,0.38
 Laiqiang Huang,N/A
