author,title,publish_place
 Tang Jiang,Photodetectors and photovoltaics based on semiconductor nanocrystals,Infrared Physics & Technology
 Juan Ouyang,The MURAL collection of prostate cancer patient-derived xenografts enables discovery through preclinical models of uro-oncology,Nature communications
 Juan Ouyang,Molecular interaction networks to select factors for cell conversion,N/A
 Juan Ouyang,Challenges for Computational Stem Cell Biology: A Discussion for the Field,Stem Cell Reports
 Juan Ouyang,Single cell analysis of early metastasis identifies targetable tumor subpopulation and mechanisms of immune evasion in squamous cell cancers,N/A
 Juan Ouyang,Evaluating Capture Sequence Performance for Single-Cell CRISPR Activation Experiments,ACS synthetic biology
 Qingsong Zhou,Role of ornithine decarboxylase in regulation of estrogen receptor alpha expression and growth in human breast cancer cells,Breast cancer research and treatment
 Qingsong Zhou,Common pathway signature in lung and liver fibrosis,Cell Cycle
 Qingsong Zhou,"Characterization of chitinase-like genes: Families and proteins from Tribolium casteneum, Drosophila melanogaster and Anopheles gambiae",N/A
 Qingsong Zhou,Polyamine analogues modulate gene expression by inhibiting KDM1/LSD1 and altering chromatin structure in human breast cancer cells,N/A
 Qingsong Zhou,14. P4. Functional Analysis of Genes of Chitin Metabolism in Tribolium castaneum by RNA interference,N/A
 Peisong Chen,The Phasmatodea Population Evolution Algorithm and Its Application in 5G Heterogeneous Network Downlink Power Allocation Problem,Journal of Internet Technology
 Peisong Chen,An adaptive stochastic central force optimisation algorithm for node localisation in wireless sensor networks,N/A
 Peisong Chen,"A parallel compact cuckoo search algorithm for three-dimensional path planning (vol 94, 106443, 2020)",N/A
 Peisong Chen,Corrigendum to “A parallel compact cuckoo search algorithm for three-dimensional path planning”[Appl. Soft Comput. 94 (2020) 106443],N/A
 Peisong Chen,FPGA Implementation of Binary Edwards Curve Point Addition,N/A
 Bin Huang,A fast modular implementation for neural networks,N/A
 Bin Huang,Simplification of a specific two-hidden-layer feedforward networks,N/A
 Bin Huang,SPECIAL ISSUE ON NEW TRENDS IN SMART CHIPS AND SMART HARDWARE,N/A
 Bin Huang,SPECIAL ISSUE ON EFFICIENT AND RAPID MACHINE LEARNING ALGORITHMS FOR BIG DATA AND DYNAMIC VARYING SYSTEMS,N/A
 Bin Huang,Using Visual and Textual Clues for Multimodal Sentiment Analysis,N/A
 Daping Fan,Mal1 deficiency reduces atherosclerosis and activates PPARγ,N/A
 Daping Fan,Structural studies of exchangeable apolipoproteins,N/A
 Daping Fan,"Erratum to: Guidelines for the use and interpretation of assays for monitoring autophagy (Autophagy, 12, 1, 1-222, 10.1080/15548627.2015. 1100356",N/A
 Daping Fan,"HOXB7 promotes malignant progression by activating the TGF-β signaling pathway Shou Liu, Kideok Jin 3, Yvonne Hui 4, Jie Fu, Chunfa Jie 5, Sheng Feng 6, David Reisman",N/A
 Daping Fan,Conserved Glycines in the C Terminus of,N/A
 Qiang Huang,Application of Apple Polyphenols Treatment Deleys Senescence in Harvested ‘Jinshayou’Pummelo by Enhancing Antioxidant Capacity,N/A
 Qiang Huang,Food & Function,N/A
 Qiang Huang,Food & Function,N/A
 Qiang Huang,STRUCTURE AND PURIFICATION OF FIBRONECTIN,The EMBO journal
 Qiang Huang,Studies on the Reaction and Properties of Esterified and Cross-linked Starches (Ⅲ)—Properties of Starch Paste and Use,N/A
 Zhen Sun,Erratum to: Study of gamma production in pPb collisions at root sNN= 8: 16 TeV,N/A
 Zhen Sun,Amplitude analysis of B s ⁰→ KS ⁰ K±π∓ decays,N/A
 Zhen Sun,"Our thanks to all those who have helped with this issue. Listed below are authors, referees and others who have kindly given their time, effort and expertise; their generosity …",N/A
 Zhen Sun,ICINIS 2009,N/A
 Zhen Sun,Supporting Spatially-Awareness for Networked Ubiquitous Devices Through Ambient Context Sensing,N/A
 Long Wang,"Synthesis, structure, and electrochemical characteristics of LiNi1/3Co1/3Mn1/3O2 prepared by thermal polymerization",Materials Research Bulletin
 Long Wang,Aluminum-Stabilized NASICON-Structured Li3V2 (PO4) 3,Journal of Materials Chemistry A
 Long Wang,Exfoliation from carbon nanotubes versus tube size on lithium insertion,Electrochemistry Communications
 Long Wang,Spin alignment and violation of the OZI rule in exclusive ω and ϕ production in pp collisions,Nuclear Physics B
 Long Wang,Rhombohedral Prussian white as cathode for rechargeable sodium-ion batteries,Journal of the American Chemical Society
 Jing Fan,"Abdelwahab, Manal M. Ai, Haojun An, Ping",N/A
 Jing Fan,"jic, Dragana 2953, 2768 Aalto, 0111 1330 Abderrahim. Sekkaki 199 2094 akiras, Spiridon 2370 alachandran, Anand 3271 Abdi. Ali 2630 Abreu-Sernandez, Victoria 1969",N/A
 Jing Fan,3-Special Session: Student Paper Contest 2,N/A
 Jing Fan,14-Channel Estimation and Synchronization,N/A
 Jing Fan,ICCCAS 2006 Technical Program Committee,N/A
 Jun Shi,Poster: Genomics Resources,Journal for Nurses in Professional Development
 Jun Shi,"Society, Tokyo, March 28-30, 2003",N/A
 Jun Shi,Abs# 937: Rice functional genomics using cDNA microarray: the system and application.,Bioinformatics and functional genomics
 Jun Shi,Abs# 971: Rice transcriptome: discovery of new cross-talk using literature knowledge and expression profile sets of NIAS rice microarray,BMC genomics
 Jun Shi,Poster: Genomic & proteomic resources,Journal of proteome research
 Jian Liu,F-I20,N/A
 Jian Liu,"Barnard, John, Lawrence Livermore/Berkeley National Laboratory, USA jjbarnard@ llnl. gov Barriga-Carrasco, Manuel, Universidad de Castilla-La Mancha, Spain",N/A
 Jian Liu,Dynamic optical transfer function: a function to characterize random motion degraded image,N/A
 Jian Liu,Personal report,Japanese Psychological Research
 Jian Liu,K/Mo-SBA-15 catalysts for highly efficient production of acetaldehyde and ethylene in the selective oxidation of ethane,N/A
 Liu Yang,A Molecular Mechanistic Study on Bacterial Biofouling Using a Surface Forces Apparatus (SFA),N/A
 Liu Yang,Co-integration Analysis Between Electricity Consumption and Economic Growth,2017 IEEE Conference on Energy Internet and Energy System Integration (Ei2)
 Liu Yang,A STUDY ON THE LARGEST AND SMALLEST q-SINGULAR VALUES OF RANDOM MATRICES,N/A
 Liu Yang,Who Adopts Matters: Evaluating the Health Impacts,N/A
 Liu Yang,ON THE RAUCH COMPARISON THEOREM AND ITS APPLICATIONS,N/A
 Yuanyuan Liu,Supplementary Materials for “Guaranteed Sufficient Decrease for Stochastic Variance Reduced Gradient Optimization”,International Conference on Artificial Intelligence and Statistics
 Yuanyuan Liu,A systematic review of the effectiveness of using systems approaches to healthcare planning,BMJ quality & safety
 Yuanyuan Liu,A Note on Monotone Functions of Uncertain Variables,Journal of Uncertain Systems
 Yuanyuan Liu,Determination of target values of engineering characteristics in QFD using uncertain programming,Journal of Uncertainty Analysis and Applications
 Yuanyuan Liu,An Extension for the Operational Law of Uncertain Variables,IEEE Transactions on Fuzzy Systems
 Chao Sun,Ai-je le droit de déposer un article publié?(11/05/15),DistanceS
 Chao Sun,Imaging of copper ejection in pico-and nanosecond Laser Induced Forward Transfer,N/A
 Chao Sun,BULK STATISTICS OF STABLE AND DECAYING TAYLOR-COUETTE TURBULENCE,"15th European Turbulence Conference, ETC 2015"
 Chao Sun,DYNAMICS OF FINITE-SIZED LIGHT SPHERES IN TURBULENCE,N/A
 Chao Sun,DOUBLE DIFFUSIVE CONVECTION BETWEEN TWO PARALLEL PLATES WITH DIFFERENT BOUNDARY CONDITIONS,"15th European Turbulence Conference, ETC 2015"
 Lu Gan,Speech Processing Optimal Speech Enhancement Under Signal Presence Uncertainty Using Log-Spectral Amplitude Estimator... I. Cohen 113 Image and Multidimensional Signal …,N/A
 Lu Gan,Signal Detection and Estimation A Fast Recursive Total Least Squares Algorithm for Adaptive FIR Filtering …,IEEE Transactions on Signal Processing
 Lu Gan,LOW-POWER LASER STIMULATION IMPROVES CARTILAGINOUS TISSUE FORMATION IN VITRO,N/A
 Lu Gan,CO-CULTURE OF PRIMARY AND PASSAGED ARTICULAR CHONDROCYTES ALLOWS USE OF MONOLAYER EXPANDED CHONDROCYTES TO FORM CARTILAGE TISSUE IN VITRO,N/A
 Lu Gan,Development Situation of Agricultural Machinery Information and its Countermeasure Research in Sichuan Province,Land
 Luwei Zhang,Fast fabrication of a hybrid monolithic column containing cyclic and aliphatic hydrophobic ligands via photo‐initiated thiol‐ene polymerization,Journal of separation science
 Luwei Zhang,Hydrophobic and hydrophilic modification of hierarchically porous monolithic polyimide derivatives as functional liquid absorbers,Materials Advances
 Luwei Zhang,Robust Titanium Phenolate-Modified Microspheres as Reusable Affinity Materials for Selectively Capturing Phosphopeptides from Complicated Biosamples,ACS Sustainable Chemistry & Engineering
 Luwei Zhang,Facile Preparation of Hierarchically Porous Monolith with Optical Activity Based on Helical Substituted Polyacetylene via One-Step Synthesis for Enantioselective Crystallization,ACS Applied Materials & Interfaces
 Luwei Zhang,Fabrication of a reusable bifunctional biomimetic Ti 4+-phosphorylated cellulose monolith with a coral-like structure for enrichment of phosphorylated and glycosylated peptides,Green Chemistry
 Yuting Du,Monitoring amyloid-β proteins aggregation based on label-free aptasensor,Sensors and Actuators B: Chemical
 Yuting Du,A novel nonenzymatic fructose sensor based on electrospun LaMnO3 fibers,Journal of Electroanalytical Chemistry
 Yuting Du,Pretreatment of coal by ionic liquids towards coal electrolysis liquefaction,N/A
 Yuting Du,Nitidine chloride-assisted bio-functionalization of reduced graphene oxide by bovine serum albumin for impedimetric immunosensing,Biosensors and Bioelectronics
 Rong Zhou,Effects of isoflavone aglycone on the prevention of obesity in a diet-induced obese mouse model,FASEB JOURNAL
 Rong Zhou,Effects of isoflavone aglycone on the prevention of obesity in an ovariectomized mouse model.,AMERICAN JOURNAL OF CLINICAL NUTRITION
 Rong Zhou,Biochemical and Molecular Action of Nutrients-b-Carotene Modulates Human Prostate Cancer Cell Growth and May Undergo Intracellular Metabolism to Retinol,The Journal of nutrition
 Rong Zhou,Biochemical and Molecular Action of Nutrients,J. Nutr
 Rong Zhou,Biochemical and Molecular Action of Nutrients,J. Nutr
 Hong Zhang,Studies on the magnetic properties of binuclear copper (II) complex of a bibrachial lariat ether,N/A
 Hong Zhang,The electronic spectra and its theoretical analysis of [Fe3O (OBz)(6)(CH3OH)(3)](NO3)(CH3OH)(2)(OBz (-)= benzoate),N/A
 Hong Zhang,Challenges in Nanoscience,ACS nano
 Hong Zhang,www. rsc. org/chemsocrev Volume 41| Number 2| 21 January 2012| Pages 525–944,N/A
 Hong Zhang,www. rsc. org/chemsocrev Volume 40| Number 11| November 2011| Pages 5209–5620,N/A
 Ayusman Dash,Airscript-creating documents in air,2017 14th IAPR International Conference on Document Analysis and Recognition (ICDAR)
 Ayusman Dash,Indic-transformers: An analysis of transformer language models for Indian languages,arXiv preprint arXiv:2011.02323
 Ayusman Dash,One to Rule Them All: Towards Joint Indic Language Hate Speech Detection,arXiv preprint arXiv:2109.13711
 Ayusman Dash,"Ayushman Dash, Pedro Alonso, Gustav Pihlgren, Vinay Pondeknath, Fotini Simistira, and Marcus Liwicki. Subword semantic hashing for intent classification on small datasets",2019 International Joint Conference on Neural Networks (IJCNN)
 Ayusman Dash,Subword Semantic Hashing for Intent Classification on Small Datasets Download PDF,2019 International Joint Conference on Neural Networks (IJCNN)
 Nitesh Singh,"NIHONMACHI: The Consumption of Japantown, San Francisco","Marketing, Technology and Customer Commitment in the New Economy"
 Nitesh Singh,Adaptation of cultural content: evidence from B2C e-commerce firms,European Journal of Marketing
 Nitesh Singh,Meta-review And Critique of Qualitative Ethical Decision Making Research: 2004-2014,N/A
 Nitesh Singh,Application of the Eclectic Paradigm,Journal of International Business Studies
 Nitesh Singh,Country Culture: The Biggest Barrier to FCPA,N/A
 Debabrata Dash,Review of book: BIOTECHNOLOGY METHODS OF POLLUTION CONTROL (SA Abbasi and E Rsamasami),N/A
 Debabrata Dash,Some studies on Immobilized Lactobacillus delbruecki (NCIM-2365) in calcium alginate for the production of lactic acid,Letters in applied microbiology
 Debabrata Dash,High rate biodegradation of municipal solid wastes by advanced solid-state fermentation process,Sustainability
 Debabrata Dash,Oil shales and tar sands,N/A
 Debabrata Dash,Contributor Index (Vol. 11),N/A
 Aneesa Fasim,Isolation and purification of microbial exopolysaccharides and their industrial application,N/A
 Aneesa Fasim,Bioremediation of Pesticides Containing Soil and Water,N/A
 Aneesa Fasim,Profilin activates bacillus thuringiensis phosphoinositide specific phospholipase C.,N/A
 Aneesa Fasim,PROFILIN ACTIVATES BACILLUS THURINGIENSIS PHOSPHOINOSITIDE SPECIFIC PHOSPHOLIPASE C,N/A
 Aneesa Fasim,Corrigendum to “Phorbol ester mediated activation of inducible nitric oxide synthase results in platelet profilin nitration”[Nitric Oxide 14 (2006) 65–71],Nitric Oxide
 Deepshikha Sharma,Assessment of diffuse water pollution load from an urban catchment in India.,NOVATECH 2010
 Deepshikha Sharma,HKH2Glasgow: Promoting Ambitious Climate Action for the Hindu Kush Himalayas,Mountain Research and Development
 Deepshikha Sharma,Re-assessment of wind energy potential with new technology in India,Wind Engineering
 Deepshikha Sharma,"State of Landfill Sites in the National Capital Territory and their Impact on Groundwater Pollution, India",N/A
 Deepshikha Sharma,肯尼亚风电发展前景分析,N/A
 Surya S. Singh,Nuclear spin cooling and statistics with diamond NV centers,N/A
 Surya S. Singh,"Retesh Maurya,Surya Kant Singh and Ashish Maurya, “Automated Multiple Skin Cancers Detection using 2D-Wavelelet Transform based on Multi-Class Support Vector Machine” In …",N/A
 Surya S. Singh,"Retesh Maurya,Surya Kant Singh and Ashish Maurya, “GLCM and Multi Class Support Vector Machine based Automated Skin Cancer Classification”, In Proceedings of 8 th IEEE 2014 …",2014 International Conference on Computing for Sustainable Global Development (INDIACom)
 Surya S. Singh,"Surya Kant Singh and Retesh Maurya, “Application of Combined Local Binary Pattern in Facial Expression Recognition”, In Proceedings of, Prod# CFP1288T-POD , ISBN: 978-1-4673 …",N/A
 Surya S. Singh,"Surya Kant Singh and Retesh Maurya,”Skin Cancer classification using Multi Class Support Vector Machine in color space”, In Proceedings of 5th IEEE international conference on …",2014 International Conference on Computing for Sustainable Global Development (INDIACom)
 Kai Li Tan,VAMP associated proteins are required for autophagic and lysosomal degradation by promoting a PtdIns4P-mediated endosomal pathway,Autophagy
 Kai Li Tan,Genetic screen for regulators of lymph gland homeostasis and hemocyte maturation in Drosophila,G3: Genes| Genomes| Genetics
 Kai Li Tan,A Genetic Screen for Genes That Impact Peroxisomes in Drosophila Identifies Candidate Genes for Human Disease,"G3: Genes, Genomes, Genetics"
 Kai Li Tan,"The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration (vol 12, e1001847, 2014)",Development
 Kai Li Tan,Correction: The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,PLoS Biology
 Bo Xiong,"A Bibliometric Insight of Genetic Factors in ASD: Emerging Trends and New Developments. Brain Sci. 2021, 11, 33",N/A
 Bo Xiong,Correction: Impaired Mitochondrial Energy Production Causes Light-Induced Photoreceptor Degeneration Independent of Oxidative Stress,PLoS biology
 Bo Xiong,DE NOVO GENIC MUTATIONS AMONG A CHINESE AUTISM SPECTRUM DISORDER COHORT,Nature communications
 Bo Xiong,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Bo Xiong,"621 Perinatal programming of adult hippocampal structure and function; emerging roles of stress, nutrition and epigenetics",Trends in neurosciences
 Shinya Yamamoto,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Shinya Yamamoto,Novel Insights Into the Notch Signaling Pathway Though Forward Genetic Approaches: In Vivo Analysis of Notch and EHBP1 in Drosophila,N/A
 Shinya Yamamoto,"Gastroent. Gastroent. 96, 795-803, 1989",Biological & pharmaceutical bulletin
 Shinya Yamamoto,Notch Signaling,Science
 Shinya Yamamoto,"Loss of Frataxin induces iron toxicity, sphingolipid synthesis, and Pdk1/Mef2 activation, leading to neurodegeneration 2",Elife
 Hector Sandoval,Correction: Impaired Mitochondrial Energy Production Causes Light-Induced Photoreceptor Degeneration Independent of Oxidative Stress,PLoS biology
 Hector Sandoval,Amino acid residues in Rag1 crucial for DNA hairpin formation (35.12),N/A
 Hector Sandoval,Autoimmunity Caused by Cell Type-Specific Deficiency in Apoptosis.,N/A
 Hector Sandoval,Supplementary Material for,Intensive care medicine
 Manish Jaiswal,"The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration (vol 12, e1001847, 2014)",Development
 Manish Jaiswal,Buffered EGFR signaling regulated by spitz to argos expression ratio is critical for patterning the Drosophila eye,bioRxiv
 Manish Jaiswal,Understanding Neurodegeneration and Neuroprotection Through Genetic Screens in Drosophila,N/A
 Manish Jaiswal,SI: Genetic pathways to Neurodegeneration Pathways to Neurodegeneration: Lessons Learnt From Unbiased Genetic Screens in Drosophila,N/A
 Manish Jaiswal,"Loss of Frataxin induces iron toxicity, sphingolipid synthesis, and Pdk1/Mef2 activation, leading to neurodegeneration 2",Elife
 Ke Zhang,Advances in the molecular mechanisms of the microbe-nematode interaction,N/A
 Ke Zhang,Future Study,Developmental psychology
 Ke Zhang,W ScienceDirect,Medical Laser Application
 Ke Zhang,"A new species of Acrogenospora from submerged bamboo in Yunnan, China (vol 92, pg 384, 2005)",Mycotaxon
 Ke Zhang,食线虫真菌细胞壁蛋白研究进展,家畜生态学报
 Wu-Lin Charng,"TNPO2 variants associate with human developmental delays, neurologic deficits, and dysmorphic features and alter TNPO2 activity in Drosophila",The American Journal of Human Genetics
 Wu-Lin Charng,"The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration (vol 12, e1001847, 2014)",Development
 Wu-Lin Charng,"MUTATIONS IN EBF3 DISTURB TRANSCRIPTIONAL PROFILES AND UNDERLIE A NOVEL SYNDROME OF INTELLECTUAL DISABILITY, ATAXIA AND FACIAL DYSMORPHISM",The American Journal of Human Genetics
 Wu-Lin Charng,Baylor-Johns Hopkins Center for Mendelian genomics: a four year review,N/A
 Wu-Lin Charng,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Gabriela David,Polarographic and Voltammetric Analysis of Benzodiazepine Drugs,Journal of Electroanalytical Chemistry and Interfacial Electrochemistry
 Gabriela David,Metode instrumentale de analiză: Culegere de probleme. Partea 3,N/A
 Gabriela David,Studium der Reduktion und der quantitativen Bestimmungsmoglichkeiten des In3+ in wassrigen Chlorid-Losungen durch klassische und Wechselstrompolarographie,N/A
 Gabriela David,FULVENYL-SUBSTITUTED CP LIGANDS .4. STABLE HETEROBINUCLEAR DONOR-ACCEPTOR SYSTEM WITH 6-PENTAFULVENYLCYCLOPENTADIENYL BRIDGE,Journal of Organometallic Chemistry
 Gabriela David,SELECTIVITY AND RESOLUTION IN MODERN POLAROGRAPHIC METHODS. 1. ESTIMATION OF QUANTITATIVE RESOLUTION,N/A
 Kartik Venkatachalam,Guidelines for the use and interpretation of assays for monitoring autophagy,autophagy
 Kartik Venkatachalam,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Kartik Venkatachalam,MECHANISMS OF SIGNAL TRANSDUCTION-Regulation of Canonical Transient Receptor Potential (TRPC) Channel Function by Diacylglycerol and Protein Kinase C.,Journal of Biological Chemistry
 Kartik Venkatachalam,"Kartik Venkatachalam, Ph. D.",Education & Training
 Kartik Venkatachalam,"A TRPV Channel in Drosophila Motor Neurons Regulates Presynaptic Resting Ca 2 Levels, Synapse Growth, and Synaptic Transmission",N/A
 Joanna Cooke,DHS-FEMA,The Urban Lawyer
 Joanna Cooke,Status of marine and coastal natural assets,N/A
 Joanna Cooke,ADDRESS: SOUTH AUSTRALIAN RESEARCH AND DEVELOPMENT INSTITUTE AQUATIC SCIENCES PO BOX 120 HENLEY BEACH SA 5022 Objectives,N/A
 Joanna Cooke,Current loads of priority pollutants discharged from Great Barrier Reef Catchments to the Great Barrier Reef,N/A
 Joanna Cooke,Assessing the vulnerability of Torres Strait fisheries and supporting habitats to climate change 2013,"Report to the Australian Fisheries Management Authority, C2O Fisheries, Australia"
 Ruth Pidsley,The wateRmelon Package,N/A
 Ruth Pidsley,Identification of DNA methylation biomarkers with potential to predict response to neoadjuvant chemotherapy in triple-negative breast cancer,Clinical epigenetics
 Ruth Pidsley,MethPanel: a parallel pipeline and interactive analysis tool for multiplex bisulphite PCR sequencing to assess DNA methylation biomarker panels for disease detection,Bioinformatics
 Ruth Pidsley,Cancer Methylation Biomarkers in Circulating Cell-Free DNA,Clinical Epigenetics
 Ruth Pidsley,The DMRcate package user’s guide,N/A
 Andrew Edwards,P7 Bone mineral density and sex hormone levels in menopausal women,N/A
 Andrew Edwards,‘Ecophysiology of Australasian Plants and Ecosystems’ Special Issue,N/A
 Andrew Edwards,Index to Volume 12 (2003),Global ecology and biogeography
 Andrew Edwards,"Imma Oliveras, Josep Piñol and Domingos X. Viegas",N/A
 Andrew Edwards,ESTIMATES OF SELECTED CARBON COMPOUNDS EMISSIONS FROM TROPICAL SAVANNA BURNING IN NORTHERN AUSTRALIA,N/A
 Laura L. Baxter,An integrated national scale SARS-CoV-2 genomic surveillance network,The Lancet. Microbe
 Laura L. Baxter,Targeted deep sequencing of urothelial bladder cancers and associated urinary DNA,N/A
 Laura L. Baxter,Arabidopsis Defense against Botrytis cinerea: Chronology and Regulation Deciphered by High-Resolution Temporal Transcriptomic AnalysisC W,N/A
 Laura L. Baxter,LARGE-SCALE BIOLOGY ARTICLE,Genome biology
 Laura L. Baxter,Signatures of Adaptation to Obligate,science
 Thomas G. Campbell,A radical treatment for surfer's eye,Case Reports
 Thomas G. Campbell,Mantle Cell Lymphoma of the Ocular Adnexa,The American journal of surgical pathology
 Thomas G. Campbell,Aberrant striatal activity in mice with a mutation implicated in a developmental speech and language disorder,N/A
 Thomas G. Campbell,The 8 mu|,IEEE Journal of Quantum Electronics (Institute of Electrical and Electronics Engineers);(United States)
 Thomas G. Campbell,"1Wellcome Trust Centre for Human Genetics, University of Oxford, Roosevelt Drive, Oxford, OX3 7BN, UK $ St. Cross College, University of Oxford, Oxford, OX1 3LZ, UK.",N/A
 H. Douglas Morris,Experiments with gradient-localized DESIRE microscopy,N/A
 H. Douglas Morris,NMR Imaging of flow velocity by phase tagging,Magnetic resonance in medicine
 H. Douglas Morris,Author Disclosure: JJ Urbanic: None. D. Case: None. G. Lesser: None. G. Enevold: None. M. Naughton: None. S. Danhauer: None. S. Rapp: None. M. Vitolins: None. S. Johnson: None …,N/A
 H. Douglas Morris,Prolonged Exercise Induces Angiogenesis and Increases Cerebral Blood Flow in Primary Motor Cortex of the Rat,Neuroscience
 Johannes Riegler,Random X-Chromosome inactivation in human,Acta Paediatrica
 Johannes Riegler,Algae Bloom Like It Hot,Science
 Johannes Riegler,Magnetic targeting of endothelial progenitor cells to coronary arteries,Biomedical Microdevices
 Johannes Riegler,The epidermal growth factor receptor network and colorectal cancer,The lancet oncology
 Johannes Riegler,A Multi-Echo Technique for Positive Contrast Detection of SPIO-labeled Cells at 9.4 T,N/A
 Fabrizio Loreni,ANALYSIS OF THE MATURATION OF TRANSCRIPTS OF THE GENE FOR THE RIBOSOMAL-PROTEIN L1 OF XENOPUS-LAEVIS,N/A
 Fabrizio Loreni,a-Synuclein expression is modulated at the translational level by iron,Neuroreport
 Fabrizio Loreni,Sviluppo TmRdb: Database per la famiglia dei TOP mRNA,N/A
 Fabrizio Loreni,"RPS19, MUTATED IN DIAMOND-BLACKFAN ANEMIA, INTERACTS WITH THE PIM-1 ONCOPROTEIN",N/A
 Fabrizio Loreni,La genetica al servizio della medicina e della nutrizione personalizzate: farmacogenetica e nutrigenetica,il caduceo
 Jonathan Flint,The Mouse Genomes Project,Mammalian Genome
 Jonathan Flint,433 Maintaining a Steady Course,N/A
 Jonathan Flint,"Full text or abstracts of the following articles, which are currently ‘in press’ in Biological Psychiatry, are available on our website now",N/A
 Jonathan Flint,"Multifactorial analysis of unconditioned anxiety, fear-potentiated startle and two-way avoidance in rats from a genetically heterogeneous stock (HS rats).",N/A
 Jonathan Flint,This Month in Genetics Research,"Journal of Speech, Language, and Hearing Research"
 William J. Pavan,"CONSERVED HOMOLOGY BETWEEN MMU-16 AND HSA-21-THE MURINE NEUROLOGICAL MUTANT, WV, MAPS TO THE CONSERVED REGION",N/A
 William J. Pavan,Issue contents 695,Ergodic Theory and Dynamical Systems
 William J. Pavan,Issue contents iii,N/A
 William J. Pavan,"B. Kantor, K. Makedonski, R. Shemer, A. Razin (Israel) Expression and localization of components of the histone deacetylases multiprotein repressory complexes in the mouse …",Gene expression patterns
 William J. Pavan,"S. Ristevski, PPL Tam, PJ Hertzog, I. Kola (Australia, USA) Ets2 is expressed during morphogenesis of the somite and limb in the mouse embryo 165",Mechanisms of development
 Ingo Grafe,MOOCS: Platform for higher Education,N/A
 Ingo Grafe,"Library Automation @ Govt. First Grade College Library (Jnanadhare) Dharwad, Karnataka: A success story (Case Study)  (Impact factor-6.261, ISSN-2348-7143).",N/A
 Ingo Grafe,Vishwa Pustaka Dina (World Book Day),N/A
 Ingo Grafe,UNDERSTANDING UNIVERSITY WEBSITES BY ACADEMIC FRATERNITY IN INDIA: A SURVEY,Business & society
 Ingo Grafe,h-Index: A Review of Literature,N/A
 Roy Morello,Lmx1b regulates Cd2ap and podocin expression and is required for proper podocyte differentiation,FASEB JOURNAL
 Roy Morello,Lmx1b expression during joint and tendon formation: Localization and evaluation of potential downstream targets.,Gene expression patterns
 Roy Morello,Lmx1b is required for podocyte differentiation and foot process morphogenesis.,AMERICAN JOURNAL OF HUMAN GENETICS
 Roy Morello,Lmx1b regulates type IV collagen gene expression and underlies renal dysplasia in nail patella syndrome.,AMERICAN JOURNAL OF HUMAN GENETICS
 Roy Morello,"Gene Mapping, Cloning and Sequencing-cDNA cloning, characterization and chromosome mapping of the gene encoding human cartilage associated protein (CRTAP)",Cytogenetic and Genome Research
 Dobrawa Napierala,Zastosowanie analizy DNA w ustalaniu ojcostwa.,N/A
 Dobrawa Napierala,Diagnostyka molekularna w biologii i medycynie,Wiadomości Parazytologiczne
 Dobrawa Napierala,Novel mutation in the RYR1 gene of the wolf [Canis lupus],N/A
 Dobrawa Napierala,DIAGNOSTYKA MOLEKULARNA,N/A
 Dobrawa Napierala,ZASTOSOWANIE ANALIZY DNA W USTALANIU OJCOSTWA,N/A
 Yuqing Chen,Microlens array induced light absorption enhancement in polymer solar cells,Physical chemistry chemical physics
 Yuqing Chen,Reducing optical losses in organic solar cells using microlens arrays: theoretical and experimental investigation of microlens dimensions,Physical Chemistry Chemical Physics
 Yuqing Chen,Plastic-Syringe Induced Silicone Contamination in Organic Photovoltaic Fabrication: Implications for Small-Volume Additives,ACS Applied Materials & Interfaces
 Yuqing Chen,Controlling nanomorphology in plastic solar cells,Nanomaterials and Energy
 Yuqing Chen,Low-boiling-point solvent additives can also enable morphological control in polymer solar cells,Synthetic metals
 Rhonald Lua,The Maternal-to-Zygotic Transition Targets Actin to Promote Robustness during,N/A
 Rhonald Lua,Illustration of the Jarzynski nonequilibrium work relation for an ideal gas,arXiv preprint cond-mat/0511302
 Rhonald Lua,Some applications of topology and statistical physics to polymer physics and molecular biology,Some applications of topology and statistical physics to polymer physics and molecular biology
 Rhonald Lua,More Comments on P (W),Technometrics
 Rhonald Lua,Knottedness of Compact Lattice Chains,N/A
 Olivier Lichtarge,Similar Structures and Shared Switch Mechanisms of the,Journal of Biological Chemistry
 Olivier Lichtarge,"Volume 331, Number",FEBS letters
 Olivier Lichtarge,One-state Downhill versus Conventional Protein Folding,Journal of molecular biology
 Olivier Lichtarge,Hydroxyl Groups in the bb Sandwich of Metallo-b-lactamases Favor Enzyme Activity: A Computational Protein Design Study,N/A
